order_item_order_id,revenue,min,max,item_count
105,429.94,119.98,179.97,3
106,99.99,99.99,99.99,1
107,1039.95,79.98,299.98,5
110,594.93,44.99,239.96,5
111,249.9,249.9,249.9,1
112,979.88,99.96,399.98,5
113,619.87,49.98,299.98,4
114,239.96,239.96,239.96,1
115,599.96,299.98,299.98,2
116,795.91,66.0,299.98,5
117,785.88,66.0,399.98,4
118,309.98,50.0,129.99,3
119,485.88,129.99,199.92,3
120,809.96,59.99,399.98,4
121,1029.93,179.97,299.98,4
122,939.9,39.99,399.98,5
123,529.94,129.99,200.0,3
124,399.98,399.98,399.98,1
127,579.97,50.0,399.98,3
129,249.9,249.9,249.9,1
130,629.92,99.96,199.99,4
131,824.91,124.95,399.98,3
132,614.92,49.98,250.0,4
133,639.91,100.0,299.95,3
134,59.99,59.99,59.99,1
135,209.97,39.99,119.98,3
136,299.98,299.98,299.98,1
137,599.9,299.95,299.95,2
139,509.95,50.0,399.98,3
140,1249.9,150.0,399.98,5
141,289.96,90.0,100.0,3
142,129.99,129.99,129.99,1
143,1139.9,199.98,399.98,4
145,289.92,49.98,129.99,3
146,629.95,49.98,299.98,4
147,429.96,129.99,299.97,2
148,479.99,100.0,250.0,3
149,429.87,179.97,249.9,2
150,129.99,129.99,129.99,1
151,325.96,95.97,129.99,3
152,577.88,29.98,199.99,5
154,799.85,119.98,299.98,4
155,119.98,119.98,119.98,1
156,49.98,49.98,49.98,1
157,199.98,199.98,199.98,1
158,399.98,399.98,399.98,1
159,1033.81,53.97,399.96,5
160,199.98,199.98,199.98,1
161,749.97,50.0,399.98,4
162,1029.93,129.99,299.98,4
163,159.94,39.96,119.98,2
164,1369.81,129.99,399.96,5
165,1333.84,63.98,499.95,5
166,619.93,59.99,199.99,4
167,919.94,119.98,399.98,4
168,699.94,299.98,399.96,2
170,629.89,59.99,239.96,5
171,1239.87,39.99,499.95,4
172,819.93,59.99,299.97,5
173,139.96,139.96,139.96,1
174,659.91,59.99,299.98,4
175,419.95,119.97,299.98,2
177,799.91,99.96,399.98,4
178,449.96,49.98,399.98,2
179,239.96,239.96,239.96,1
180,1029.9,99.96,399.98,5
181,514.94,39.99,299.98,4
182,399.98,399.98,399.98,1
184,699.88,50.0,200.0,5
185,539.85,159.96,199.92,3
186,699.96,299.98,399.98,2
188,1299.91,99.96,399.98,5
189,729.91,129.99,299.97,3
190,859.92,159.96,399.98,3
191,39.99,39.99,39.99,1
192,1151.93,51.99,399.98,4
193,1149.93,150.0,399.98,4
194,699.92,49.98,399.98,4
195,577.85,127.96,249.9,3
196,239.96,239.96,239.96,1
197,379.99,129.99,250.0,2
198,399.96,399.96,399.96,1
200,959.86,129.99,250.0,5
201,449.82,199.92,249.9,2
202,195.99,66.0,129.99,2
204,439.91,59.99,199.95,3
205,459.97,59.99,399.98,2
206,729.96,129.99,399.98,3
207,993.89,44.0,499.95,5
208,129.99,129.99,129.99,1
209,939.93,59.99,399.98,5
211,369.94,30.0,239.95,3
212,159.96,159.96,159.96,1
213,699.93,100.0,299.98,3
214,689.82,79.98,249.9,4
215,199.99,199.99,199.99,1
216,794.9,74.97,299.98,4
219,349.96,99.96,250.0,2
220,931.95,31.99,399.98,4
221,1059.91,129.99,399.98,5
222,519.94,119.98,399.96,2
223,779.89,59.99,299.95,5
224,39.99,39.99,39.99,1
225,529.97,129.99,199.99,3
226,919.93,129.99,399.98,4
227,495.93,95.97,399.96,2
228,799.87,59.98,399.98,5
229,709.9,60.0,250.0,4
230,100.0,100.0,100.0,1
231,559.93,49.98,299.98,4
232,351.96,31.99,199.99,3
234,89.97,9.99,79.98,2
235,399.98,399.98,399.98,1
236,739.91,159.96,399.98,3
237,799.91,50.0,239.96,5
238,713.89,103.98,239.96,4
239,829.88,79.98,299.98,4
240,829.86,179.97,249.9,4
241,739.95,39.99,399.98,3
242,329.97,50.0,199.99,3
243,1179.89,29.97,399.98,5
244,679.91,49.98,399.98,4
245,399.98,399.98,399.98,1
246,1007.93,47.99,399.98,5
247,999.92,99.96,399.98,4
248,299.91,99.99,199.92,2
249,899.97,100.0,399.98,4
250,479.92,239.96,239.96,2
251,129.99,129.99,129.99,1
252,499.96,50.0,199.99,4
253,649.95,50.0,299.98,4
254,469.98,100.0,250.0,3
255,879.81,129.99,399.96,4
256,589.91,49.98,299.98,5
257,509.94,150.0,199.98,3
259,409.94,50.0,239.96,3
260,449.98,199.98,250.0,2
262,879.86,50.0,499.95,4
263,100.0,100.0,100.0,1
264,899.92,199.99,399.98,3
265,629.94,50.0,199.95,5
266,199.99,199.99,199.99,1
267,299.97,299.97,299.97,1
268,239.96,59.99,179.97,2
269,150.0,150.0,150.0,1
271,889.87,50.0,299.97,5
272,191.96,191.96,191.96,1
273,629.96,129.99,299.98,3
274,459.96,59.99,299.98,3
275,1029.89,90.0,399.98,4
277,209.97,79.98,129.99,2
278,735.88,35.98,299.95,4
279,199.98,199.98,199.98,1
280,129.99,129.99,129.99,1
281,989.85,149.94,299.98,4
282,299.95,299.95,299.95,1
283,569.86,49.98,199.99,4
284,1349.83,49.98,399.98,5
285,329.98,129.99,199.99,2
286,389.97,59.99,199.99,3
287,1089.89,59.99,399.98,5
288,99.99,99.99,99.99,1
289,1229.9,129.99,399.96,5
290,265.92,65.97,199.95,2
292,1299.86,199.92,399.98,5
293,419.94,129.99,159.96,3
294,609.84,59.96,299.98,3
295,199.95,199.95,199.95,1
296,139.96,49.98,89.98,2
297,674.88,25.0,299.95,4
299,39.99,39.99,39.99,1
300,544.96,44.99,299.98,3
301,439.97,39.99,399.98,2
302,479.95,49.98,299.98,3
303,449.99,199.99,250.0,2
304,1019.9,119.98,399.98,4
305,44.99,44.99,44.99,1
306,229.98,99.99,129.99,2
307,849.92,49.98,299.97,5
308,539.91,239.96,299.95,2
311,1045.81,95.98,399.98,5
312,374.95,74.97,299.98,2
313,179.94,79.98,99.96,2
314,744.95,119.98,299.98,4
315,809.88,59.99,399.96,4
316,129.99,129.99,129.99,1
318,129.99,129.99,129.99,1
319,319.92,119.97,199.95,2
320,329.98,129.99,199.99,2
321,299.95,299.95,299.95,1
323,959.84,129.99,399.98,4
324,849.9,199.92,399.98,3
325,277.9,127.96,149.94,2
326,319.94,79.98,239.96,2
327,839.92,119.98,239.96,5
328,484.93,59.99,224.95,3
330,709.9,49.98,299.98,5
332,649.94,150.0,299.95,3
333,689.94,59.99,299.98,4
334,599.95,100.0,499.95,2
335,1199.82,59.99,399.98,5
336,299.98,299.98,299.98,1
337,399.9,150.0,249.9,2
338,1099.86,159.96,399.96,4
339,745.91,15.99,399.98,4
342,119.98,119.98,119.98,1
343,579.99,129.99,250.0,3
345,1099.94,299.98,399.98,3
347,150.0,150.0,150.0,1
348,199.99,199.99,199.99,1
349,929.93,100.0,499.95,4
350,829.85,49.98,299.95,5
351,1043.84,63.96,399.98,5
352,1159.89,39.99,399.98,5
353,559.86,49.98,199.92,4
354,299.98,299.98,299.98,1
355,549.88,249.9,299.98,2
356,589.9,50.0,199.98,4
357,227.98,27.99,199.99,2
358,599.85,50.0,249.9,4
359,863.89,63.96,399.96,5
360,809.83,59.99,199.99,5
362,929.96,129.99,399.98,4
363,999.93,199.98,399.98,4
364,449.98,50.0,399.98,2
365,129.99,129.99,129.99,1
366,509.95,129.99,199.99,3
367,999.86,79.98,399.98,5
368,709.9,119.98,299.98,4
370,359.94,179.97,179.97,2
372,429.97,129.99,299.98,2
373,619.96,50.0,399.98,4
375,94.99,24.99,70.0,2
376,789.92,49.98,399.98,4
377,199.99,199.99,199.99,1
378,401.93,31.99,199.99,4
381,99.95,99.95,99.95,1
382,699.95,299.97,399.98,2
383,529.93,129.99,199.99,3
384,1039.9,199.99,299.98,4
385,739.9,39.99,299.98,5
386,549.92,149.94,399.98,2
387,249.9,249.9,249.9,1
388,119.97,119.97,119.97,1
389,699.81,199.92,299.97,3
390,719.93,90.0,399.98,4
391,129.99,129.99,129.99,1
392,1209.84,129.99,399.98,5
393,299.98,299.98,299.98,1
394,50.0,50.0,50.0,1
395,120.0,120.0,120.0,1
396,283.0,88.0,195.0,2
397,263.97,63.98,199.99,2
398,1049.94,50.0,399.98,4
399,1259.87,59.97,399.98,5
401,129.99,129.99,129.99,1
402,799.82,149.94,399.98,3
403,1029.86,150.0,299.98,5
404,1209.83,59.99,499.95,5
405,699.84,119.97,249.9,4
407,379.89,49.98,199.92,3
408,59.99,59.99,59.99,1
409,229.98,99.99,129.99,2
410,499.95,499.95,499.95,1
411,699.93,199.95,299.98,3
413,839.81,39.98,249.9,5
414,959.93,50.0,499.95,5
415,277.97,17.99,199.99,3
416,199.99,199.99,199.99,1
417,1379.88,49.98,499.95,5
418,579.97,50.0,399.98,3
419,899.94,199.98,299.98,4
421,399.98,399.98,399.98,1
422,599.9,199.92,399.98,2
423,549.88,249.9,299.98,2
424,179.97,179.97,179.97,1
425,99.96,99.96,99.96,1
427,879.84,79.98,239.96,5
428,639.95,129.99,200.0,4
429,564.91,125.0,239.96,3
430,899.91,49.98,299.98,5
431,639.94,239.96,399.98,2
432,253.96,53.97,199.99,2
433,150.0,150.0,150.0,1
436,629.9,79.98,399.98,3
437,849.93,119.98,299.98,4
438,119.98,119.98,119.98,1
441,1129.88,129.99,399.96,4
442,1229.91,79.98,399.96,5
443,899.94,199.98,399.98,3
444,399.98,399.98,399.98,1
446,399.98,399.98,399.98,1
447,299.98,299.98,299.98,1
449,659.97,50.0,299.98,4
450,50.0,50.0,50.0,1
451,1079.82,179.97,299.95,5
453,399.98,399.98,399.98,1
454,199.99,199.99,199.99,1
455,819.9,99.96,399.98,4
456,699.86,119.98,299.95,4
458,639.87,30.0,299.98,4
459,299.96,60.0,239.96,2
461,399.98,399.98,399.98,1
462,599.97,199.99,399.98,2
463,829.92,39.99,299.97,4
465,359.94,99.96,129.99,3
466,899.94,39.99,399.98,5
467,759.84,119.97,249.9,5
468,724.95,74.97,399.98,3
470,499.84,99.96,149.94,4
471,169.98,39.99,129.99,2
472,589.97,39.99,299.98,3
473,849.88,49.98,499.95,3
474,774.82,24.99,199.99,5
475,649.89,149.94,499.95,2
476,199.99,199.99,199.99,1
477,1249.91,150.0,399.98,5
478,199.99,199.99,199.99,1
479,749.96,50.0,399.98,4
480,609.93,50.0,299.98,4
481,100.0,100.0,100.0,1
482,30.0,30.0,30.0,1
483,659.92,99.99,299.98,3
484,599.96,299.98,299.98,2
485,1159.94,100.0,399.98,5
486,1179.86,119.96,399.98,5
487,759.95,129.99,299.98,4
488,299.98,299.98,299.98,1
489,299.98,299.98,299.98,1
490,459.97,59.99,399.98,2
491,299.99,100.0,199.99,2
492,1029.93,129.99,399.98,4
493,1129.94,129.99,399.98,4
494,279.93,129.99,149.94,2
495,929.92,130.0,399.96,3
496,441.95,49.98,150.0,5
497,44.97,44.97,44.97,1
498,429.97,129.99,299.98,2
499,599.97,49.98,200.0,4
500,589.91,50.0,199.99,5
501,199.95,199.95,199.95,1
502,31.98,31.98,31.98,1
503,399.98,199.99,199.99,2
504,839.89,129.99,260.0,4
505,199.92,199.92,199.92,1
506,939.95,59.99,399.98,5
508,934.91,110.0,399.98,4
509,849.9,49.98,399.98,4
510,849.91,49.98,399.98,4
511,469.91,129.99,179.97,3
512,459.97,59.99,399.98,2
513,579.94,119.98,199.98,4
515,399.98,399.98,399.98,1
516,729.97,129.99,399.98,3
517,1209.91,30.0,399.98,5
518,299.98,299.98,299.98,1
519,349.93,149.94,199.99,2
520,499.98,200.0,299.98,2
521,909.86,149.94,299.98,4
522,369.98,119.98,250.0,2
524,439.88,49.98,199.92,4
525,644.91,24.99,399.98,4
526,129.99,129.99,129.99,1
527,529.9,49.98,199.99,4
528,529.97,129.99,399.98,2
529,889.92,79.98,399.98,5
530,879.95,79.98,399.98,4
531,499.9,249.9,250.0,2
532,759.86,159.96,299.95,3
534,50.0,50.0,50.0,1
535,749.93,50.0,399.98,3
536,969.88,39.99,499.95,4
537,849.96,100.0,399.98,4
538,1119.86,49.98,399.98,5
539,499.94,59.99,239.96,3
540,609.93,59.99,299.98,4
541,299.98,299.98,299.98,1
542,509.95,119.98,129.99,4
543,189.98,59.99,129.99,2
544,529.97,129.99,399.98,2
545,449.95,50.0,299.95,3
546,674.94,24.99,199.99,5
547,629.87,79.98,239.96,4
548,409.98,129.99,150.0,3
549,889.93,29.99,399.98,5
550,479.95,179.97,299.98,2
551,469.94,129.99,200.0,3
552,49.98,49.98,49.98,1
554,250.0,250.0,250.0,1
555,719.94,119.98,399.98,3
556,629.96,79.98,299.98,4
557,744.92,65.0,299.95,4
558,399.98,399.98,399.98,1
560,411.98,31.99,250.0,3
561,100.0,100.0,100.0,1
562,679.97,129.99,399.98,3
563,329.98,129.99,199.99,2
565,374.9,74.95,299.95,2
567,199.97,69.98,129.99,2
568,689.88,99.99,239.96,4
571,539.92,90.0,299.98,3
572,529.97,129.99,399.98,2
575,309.89,59.99,249.9,2
577,159.98,59.99,99.99,2
579,463.96,63.98,399.98,2
580,1199.91,100.0,399.98,4
581,599.97,199.99,399.98,2
582,699.94,299.98,399.96,2
583,714.81,200.0,274.85,3
584,199.99,199.99,199.99,1
585,189.98,59.99,129.99,2
586,249.96,119.97,129.99,2
587,899.87,150.0,299.97,4
589,829.95,129.99,299.98,4
591,51.99,51.99,51.99,1
592,869.9,129.99,299.95,4
593,609.94,129.99,299.98,3
594,599.98,200.0,399.98,2
595,859.91,129.99,399.98,4
596,729.96,129.99,399.98,3
599,1024.93,125.0,499.95,4
600,937.78,87.96,299.97,4
601,130.0,30.0,100.0,2
602,689.85,149.94,299.95,3
603,129.99,129.99,129.99,1
604,279.93,99.96,179.97,2
605,399.98,399.98,399.98,1
607,819.84,129.99,299.95,4
608,199.99,199.99,199.99,1
609,629.96,129.99,299.98,3
611,599.8,19.99,249.9,4
613,393.92,63.98,199.95,3
614,1499.87,199.98,399.98,5
615,267.99,17.99,250.0,2
616,159.97,39.99,119.98,2
618,739.9,49.98,299.95,5
619,573.86,63.98,249.9,4
620,249.9,249.9,249.9,1
621,1189.79,239.96,399.98,4
622,939.92,239.96,399.98,3
623,239.96,239.96,239.96,1
624,429.97,129.99,299.98,2
625,769.93,129.99,399.98,3
626,259.94,59.99,199.95,2
627,959.91,119.98,399.98,5
628,716.83,31.99,299.98,5
629,280.0,130.0,150.0,2
630,359.98,100.0,129.99,3
631,1199.91,199.98,399.98,4
632,199.99,199.99,199.99,1
633,499.98,100.0,399.98,2
634,199.99,199.99,199.99,1
636,1119.88,119.97,299.98,5
637,459.97,59.99,399.98,2
638,229.98,99.99,129.99,2
639,659.94,129.99,399.96,3
640,299.97,299.97,299.97,1
641,299.98,299.98,299.98,1
643,599.97,199.99,399.98,2
644,749.9,149.94,299.98,3
645,499.94,59.99,239.96,3
646,959.94,129.99,299.97,5
647,983.9,63.96,399.98,5
648,869.85,149.94,299.98,4
649,249.97,49.98,199.99,2
650,599.97,199.99,399.98,2
651,649.96,99.99,199.99,4
652,59.99,59.99,59.99,1
653,249.9,249.9,249.9,1
654,759.93,129.99,499.95,3
655,579.98,50.0,200.0,4
656,629.86,129.99,299.95,3
657,719.88,100.0,299.98,4
659,1049.92,50.0,499.95,4
660,929.91,99.96,399.98,4
661,749.92,119.98,299.97,4
662,329.91,49.98,149.94,3
663,599.97,199.99,399.98,2
664,649.98,250.0,399.98,2
665,289.95,129.99,159.96,2
666,759.92,99.96,399.98,4
667,249.97,119.98,129.99,2
668,439.91,44.97,199.95,4
669,519.96,119.98,399.98,2
670,150.0,50.0,100.0,2
671,250.0,250.0,250.0,1
672,299.98,299.98,299.98,1
673,619.91,119.96,499.95,2
674,649.93,150.0,299.98,3
675,529.97,129.99,399.98,2
676,459.98,60.0,399.98,2
677,1389.86,59.99,499.95,5
678,499.95,499.95,499.95,1
679,379.89,129.99,249.9,2
680,129.99,129.99,129.99,1
681,857.89,49.98,399.96,5
682,895.87,99.96,239.96,5
684,589.95,59.99,199.99,4
685,663.95,63.98,399.98,3
686,75.0,75.0,75.0,1
687,249.97,119.98,129.99,2
688,449.89,149.94,299.95,2
689,119.98,119.98,119.98,1
690,199.99,199.99,199.99,1
691,1279.87,99.96,399.98,5
692,159.96,159.96,159.96,1
693,299.98,299.98,299.98,1
694,519.91,119.97,250.0,3
695,1049.94,119.98,399.98,5
696,449.95,119.97,199.99,3
697,249.93,19.99,100.0,4
698,489.94,39.98,399.98,3
699,619.91,59.99,299.98,5
700,1389.86,59.99,499.95,5
701,985.91,129.99,299.98,5
702,799.96,399.98,399.98,2
703,899.95,99.99,399.98,3
705,129.99,129.99,129.99,1
706,595.87,95.97,299.98,3
707,899.91,99.96,299.98,4
708,949.94,50.0,399.98,4
709,143.97,143.97,143.97,1
710,39.98,39.98,39.98,1
711,689.92,50.0,399.96,4
712,250.0,250.0,250.0,1
715,979.79,100.0,299.95,5
716,349.86,99.96,249.9,2
717,271.95,71.96,199.99,2
719,1059.81,119.98,399.98,5
721,229.99,100.0,129.99,2
722,1079.92,119.98,399.98,5
723,669.98,120.0,299.98,3
725,639.93,89.98,299.98,4
726,599.96,199.98,399.98,2
727,549.94,150.0,199.99,3
728,701.9,29.97,399.98,4
730,1359.9,159.96,399.98,4
731,474.94,24.99,299.98,4
732,805.93,35.98,299.98,5
734,399.98,399.98,399.98,1
735,129.99,129.99,129.99,1
736,594.95,44.97,399.98,3
737,49.98,49.98,49.98,1
738,731.92,22.0,299.98,5
739,659.85,99.99,249.9,4
740,199.99,199.99,199.99,1
741,1129.9,129.99,399.98,4
742,299.98,99.99,199.99,2
743,399.98,399.98,399.98,1
745,579.95,179.97,399.98,2
746,499.96,49.98,250.0,3
747,499.97,199.99,299.98,2
748,1249.94,199.98,399.98,4
749,899.89,100.0,399.98,4
750,959.91,59.99,399.98,5
753,1129.75,79.95,399.98,5
754,59.99,59.99,59.99,1
755,574.93,74.97,299.98,3
756,1219.91,119.98,399.98,4
757,719.94,119.97,399.98,3
758,669.92,39.99,299.95,4
759,789.91,99.96,250.0,4
760,539.91,239.96,299.95,2
761,349.86,149.94,199.92,2
762,1117.83,87.96,399.98,5
763,829.89,100.0,399.98,4
764,159.96,159.96,159.96,1
765,1033.83,63.98,399.98,5
766,399.98,399.98,399.98,1
768,519.95,119.97,399.98,2
769,129.99,129.99,129.99,1
770,1249.93,50.0,399.98,5
771,376.9,59.99,191.96,3
772,539.91,239.96,299.95,2
773,399.98,399.98,399.98,1
774,899.8,50.0,399.98,4
776,269.92,119.98,149.94,2
777,469.94,99.99,239.96,3
778,769.87,119.98,249.9,4
779,1089.92,150.0,399.98,4
780,524.98,100.0,299.98,3
782,1299.86,199.92,399.98,5
783,999.86,199.92,399.98,3
785,789.83,39.99,249.9,5
786,899.96,100.0,399.98,3
787,299.98,299.98,299.98,1
788,799.94,100.0,399.96,3
789,699.96,299.98,399.98,2
790,609.9,49.98,239.96,5
791,389.99,39.99,250.0,3
792,199.99,199.99,199.99,1
793,629.97,19.99,200.0,5
794,599.94,199.98,399.96,2
795,429.91,79.98,199.99,3
796,119.97,119.97,119.97,1
797,439.88,59.99,249.9,3
798,519.95,30.0,239.96,4
799,549.98,250.0,299.98,2
800,555.94,50.0,155.97,5
801,779.97,100.0,299.98,4
802,649.98,100.0,299.98,3
803,199.99,199.99,199.99,1
805,199.99,199.99,199.99,1
806,159.99,59.99,100.0,2
807,845.85,49.98,299.98,5
808,899.94,100.0,399.96,4
809,559.87,159.95,200.0,3
810,1349.9,50.0,499.95,5
812,739.93,60.0,199.99,5
813,939.84,150.0,299.98,4
814,519.97,119.98,200.0,3
815,929.7,50.0,299.95,5
816,1239.89,100.0,399.96,5
817,299.95,299.95,299.95,1
818,1059.85,119.98,399.96,4
819,1249.78,99.99,499.95,5
820,299.95,299.95,299.95,1
821,459.91,119.98,179.97,3
822,669.93,129.99,299.98,3
823,559.96,59.99,399.98,3
824,1079.92,179.97,399.98,4
825,719.88,99.96,499.95,3
826,609.97,129.99,199.99,4
827,309.99,59.99,250.0,2
830,657.92,119.98,150.0,5
831,579.95,179.97,399.98,2
834,579.95,49.98,199.99,4
836,849.88,199.99,249.9,4
840,39.99,39.99,39.99,1
841,649.88,249.9,399.98,2
842,329.91,129.99,199.92,2
843,909.92,150.0,399.98,4
844,299.95,299.95,299.95,1
845,667.95,47.99,299.98,5
846,1229.85,50.0,399.98,5
847,259.98,129.99,129.99,2
849,499.96,199.99,299.97,2
850,1339.79,150.0,399.96,5
851,121.97,24.99,51.99,3
852,399.84,199.92,199.92,2
853,979.84,79.96,399.98,4
854,709.83,49.98,399.96,4
855,679.95,99.96,250.0,4
856,1179.94,129.99,399.98,5
857,299.98,299.98,299.98,1
858,100.0,100.0,100.0,1
859,887.93,17.99,399.98,5
860,199.99,199.99,199.99,1
861,1179.9,79.98,399.98,4
862,359.95,109.95,250.0,2
863,1069.87,119.97,399.98,5
864,243.95,63.98,179.97,2
865,1029.95,129.99,399.96,4
866,899.94,199.98,399.98,3
867,569.92,119.97,299.95,3
868,1189.9,199.99,499.95,4
869,599.9,199.92,399.98,2
870,339.92,99.96,239.96,2
871,879.95,150.0,199.99,5
872,629.96,129.99,299.98,3
874,1009.86,100.0,399.98,5
875,24.99,24.99,24.99,1
877,1099.94,299.98,399.98,3
878,1049.79,150.0,249.9,5
879,749.94,119.98,299.98,4
880,959.94,129.99,399.98,4
881,1079.83,159.95,299.95,5
883,299.98,299.98,299.98,1
884,874.9,49.98,299.98,5
885,564.91,25.0,299.95,3
886,350.0,350.0,350.0,1
887,399.98,199.99,199.99,2
888,264.99,65.0,199.99,2
889,155.96,35.98,119.98,2
890,399.98,399.98,399.98,1
891,439.88,59.99,249.9,3
893,189.98,59.99,129.99,2
894,449.89,49.98,199.99,3
895,429.96,129.99,299.97,2
897,1129.9,129.99,399.98,4
898,699.89,99.96,399.98,3
899,200.0,200.0,200.0,1
900,1149.95,150.0,399.98,4
902,449.98,50.0,399.98,2
904,464.97,75.0,129.99,4
905,250.0,250.0,250.0,1
906,874.87,49.98,299.98,5
907,99.96,49.98,49.98,2
908,1099.92,99.96,399.98,4
909,200.0,200.0,200.0,1
910,619.93,119.98,499.95,2
912,729.95,129.99,299.98,3
913,949.93,59.99,399.98,5
914,929.84,79.98,299.98,4
915,395.92,95.97,299.95,2
916,579.92,100.0,199.99,4
917,429.94,59.96,250.0,4
918,619.9,100.0,200.0,4
919,865.91,66.0,299.98,4
920,1149.91,199.95,299.98,5
921,249.92,50.0,199.92,2
922,699.85,79.98,299.98,4
923,319.97,119.98,199.99,2
924,419.95,119.98,299.97,2
925,129.99,129.99,129.99,1
926,269.98,119.98,150.0,2
927,909.92,119.98,299.98,4
928,889.92,50.0,399.96,5
929,279.99,129.99,150.0,2
930,1299.85,199.92,499.95,4
931,1029.92,119.98,399.98,5
933,299.91,99.99,199.92,2
934,349.95,39.99,199.99,4
935,233.95,49.98,100.0,3
936,979.93,100.0,399.98,4
939,199.99,199.99,199.99,1
940,699.89,99.96,299.98,4
942,179.97,179.97,179.97,1
943,299.97,299.97,299.97,1
944,349.98,50.0,299.98,2
946,249.9,249.9,249.9,1
947,359.94,119.98,239.96,2
948,379.93,50.0,129.99,4
949,399.98,399.98,399.98,1
950,239.97,39.99,199.98,2
951,200.0,200.0,200.0,1
952,250.0,250.0,250.0,1
955,529.83,129.99,199.92,3
956,159.98,29.99,129.99,2
957,1219.82,39.99,399.98,5
958,189.96,69.98,119.98,2
959,909.89,119.98,299.95,4
960,469.85,39.98,249.9,3
961,809.96,129.99,399.98,4
962,649.92,159.96,250.0,3
964,739.88,129.99,299.98,4
965,269.92,49.98,119.98,3
966,1029.94,50.0,399.98,5
968,559.93,59.99,179.97,5
969,369.95,129.99,239.96,2
970,769.93,129.99,399.98,3
972,599.97,199.99,399.98,2
973,629.89,99.96,199.99,4
974,129.99,129.99,129.99,1
976,939.92,119.98,299.98,5
977,709.91,79.98,299.95,4
978,149.94,149.94,149.94,1
979,409.97,50.0,129.99,4
980,729.96,100.0,250.0,5
981,749.94,49.98,399.98,3
982,599.97,199.99,399.98,2
983,909.93,100.0,299.95,5
984,749.98,200.0,299.98,3
985,449.93,49.98,299.95,3
986,254.96,54.97,199.99,2
988,327.95,27.99,200.0,3
991,1179.93,49.98,399.98,5
992,819.89,49.98,399.96,4
993,249.9,249.9,249.9,1
994,200.0,200.0,200.0,1
995,519.92,119.98,199.99,3
996,759.84,59.99,249.9,5
998,1039.92,59.99,399.98,5
999,909.81,59.99,299.98,5
1000,279.93,49.98,129.99,3
1001,649.81,99.96,239.95,4
1002,949.92,199.95,299.98,4
1003,1029.91,129.99,399.98,4
1005,599.93,199.95,399.98,2
1006,1039.91,50.0,399.98,5
1007,629.83,49.98,199.99,5
1009,349.86,149.94,199.92,2
1010,489.86,50.0,199.92,4
1011,849.94,50.0,399.96,4
1013,129.99,129.99,129.99,1
1016,719.9,50.0,399.98,4
1017,1079.88,99.99,399.98,5
1018,679.97,129.99,399.98,3
1019,199.99,199.99,199.99,1
1020,249.96,119.97,129.99,2
1021,619.95,119.98,299.97,3
